"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
32,"NCT01251276","Hepatitis B Challenge Dose in Adults (V232-059-10)",,"Completed","Has Results","Hepatitis B","Biological: Modified Process Hepatitis B Vaccine","Percentage of Seroresponders Before and After the Challenge Vaccination|Percentage of Participants With One or More Adverse Experiences|Percentage of Participants Who Discontinued the Study Due to an Adverse Experience|Percentage of Participants With One or More Injection-site Adverse Experiences|Percentage of Participants With One or More Systemic Adverse Experiences|Percentage of Participants With One or More Serious Adverse Experiences","Merck Sharp & Dohme LLC","All","50 Years and older   (Adult, Older Adult)","Phase 3","204","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","V232-059-10|rHB01C|2006-003649-18","November 30, 2010","April 12, 2011","April 12, 2011","December 1, 2010","August 28, 2017","September 13, 2022",,,"https://ClinicalTrials.gov/show/NCT01251276"
33,"NCT01131065","Efficacy and Safety of Niuliva® for the Prevention of Hepatitis B Virus Recurrence in Newly Orthotopic Liver Transplant Recipients",,"Completed","Has Results","Hepatitis B|Liver Transplantation","Drug: Hepatitis B immune globulin","HBV Recurrence|HBsAb Pre-infusion Levels (Trough Levels Before Each Niuliva Administration)|Safety and Tolerance","Instituto Grifols, S.A.|Grifols Biologicals, LLC","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 3","15","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IG0907","July 2010","June 2014","June 2014","May 26, 2010","February 1, 2016","February 25, 2016","A.O.U. Policlinico Università di Modena e Reggio Emilia, Modena, Italy|Az. Ospedaliera Universitaria di Padova, Padova, Italy|Azienda Ospedaliero Universitaria Pisana, Pisa, Italy|Az. Ospedaliera S.Giovanni Battista di Torino, Torino, Italy",,"https://ClinicalTrials.gov/show/NCT01131065"
34,"NCT03654677","To Evaluate the Immunogenicity and Safety of Inactivated Hepatitis A Vaccine (VITHA-A)",,"Completed","No Results Available","Hepatitis A Vaccine","Biological: inactivated hepatitis A vaccine|Biological: Havrix Inj","Seroconversion rate","Boryung Pharmaceutical Co., Ltd","All","16 Years and older   (Child, Adult, Older Adult)","Phase 3","253","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","BR-HAV-CT-302","September 19, 2017","October 12, 2018","January 31, 2019","August 31, 2018",,"March 23, 2020","The Catholic University of Korea, Seoul St.Mary's Hospital, Seoul, Banpo-dong, Seocho-gu, Korea, Republic of|The Catholic University of Korea, Incheon St.Mary's Hospital, Incheon, Bupyeong-gu, Korea, Republic of|The Catholic University of Korea,Uijeongbu St.Mary's Hospital, Uijeongbu, Gyeonggi-do, Korea, Republic of|The Catholic University of Korea, Bucheon St.Mary's Hospital, Bucheon, Kyunggi-Do, Korea, Republic of|The Catholic University of Korea,Yeouido St.Mary's Hospital, Seoul, Yeongdeungpo-gu, Korea, Republic of|Hallym University Medical Center, Seoul, Yeongdeungpo-gu, Korea, Republic of|Soon chung hyang university hospita, Bucheon, Korea, Republic of|Inje university Ilsan Paik hospital, Ilsan, Korea, Republic of|Ewha Womans University Mokdong Hospital, Seoul, Korea, Republic of|Hanyang university medical center, Seoul, Korea, Republic of|Kyunghee university hospital, Seoul, Korea, Republic of|Soon Chun Hyang university hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03654677"
35,"NCT03951662","Immunology of HIV and Alcoholic Hepatitis",,"Withdrawn","No Results Available","HIV/AIDS|Alcoholic Hepatitis","Other: Alcoholic Hepatitis Group|Other: Heavy Drinking Controls without Hepatitis","Immune activation - Levels of sCD14, sCD163","Indiana University","All","18 Years and older   (Adult, Older Adult)",,"0","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","NIAAA 1UH2AA026218","July 1, 2020","September 30, 2020","September 30, 2020","May 15, 2019",,"January 22, 2021","Infectious Diseases Research Center, Indianapolis, Indiana, United States",,"https://ClinicalTrials.gov/show/NCT03951662"
36,"NCT02764671","Safety and Immunogenicity of Recombinant Hepatitis B Vaccines in the Neonates",,"Unknown status","No Results Available","Hepatitis|Hepatitis B|Liver Diseases|Digestive System Diseases","Biological: 10μg/0.5ml recombinant hepatitis B vaccine","Number of subjects with adverse events|Geometric mean titer of anti-hepatitis B virus surface antigen antibody","Shenzhen Kangtai Biological Products Co., LTD|Guangdong Provincial Institute of Biological Products And Materia Medica","All","up to 24 Hours   (Child)","Phase 4","5000","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","KT0012","May 2015","September 2020","September 2020","May 6, 2016",,"May 6, 2016","Gaozhou District Center for Disease Control and Prevention, Maoming, Guangdong, China|Xinxing District Center for Disease Control and Prevention, Yunfu, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT02764671"
37,"NCT00440297","Hepatitis B Vaccine Predialysis/Dialysis Study (V232-060)",,"Completed","Has Results","Hepatitis B Virus Infection","Biological: Comparator: modified process hepatitis B vaccine|Biological: Comparator: ENGERIX-B™","The Number of Seroprotected Participants to the Modified Process Hepatitis B Vaccine and ENGERIX-B™ (Currently Licensed Vaccine) at Month 7|The Number of Seroprotected Participants to the Modified Process Hepatitis B Vaccine and ENGERIX-B™ (Currently Licensed Vaccine) at Month 9|The Total Number of Participants With One or More Injection-Site Adverse Experiences|The Total Number of Participants With a Maximum Temperature >= 100.0F / 37.8C|The Total Number of Participants With Serious Vaccine-Related Clinical Adverse Experiences","Merck Sharp & Dohme LLC","All","18 Years and older   (Adult, Older Adult)","Phase 3","277","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","V232-060|2007_515","December 2006","May 2008","May 2008","February 27, 2007","July 8, 2009","April 13, 2017",,,"https://ClinicalTrials.gov/show/NCT00440297"
38,"NCT03393754","Immunogenicity and Safety of Sci-B-Vac® to Engerix-B® in Adults",,"Completed","Has Results","Hepatitis B Vaccines","Biological: Hepatitis B Vaccination","Seroprotection Rate (SPR) Defined as Percentage of Adults ≥ 18 Years Old Achieving Anti-HBs Levels of ≥10 mIU/mL in Serum at Study Day 196|Seroprotection Rate (SPR) Defined as Percentage of Adults ≥ 45 Years Old Achieving Anti-HBs Levels of ≥10 mIU/mL in Serum at Study Day 196|Percentage of Subject-reporting Solicited Local and Systemic Adverse Events (AEs)","VBI Vaccines Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 3","1607","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","Sci-B-Vac-001|2017-001819-36","December 13, 2017","April 8, 2019","April 8, 2019","January 8, 2018","July 7, 2020","July 17, 2020","Accel Research Sites, Birmingham, Alabama, United States|Anaheim Clinical Trials, Anaheim, California, United States|Avail Clinical Research, DeLand, Florida, United States|Suncoast Research Group, Miami, Florida, United States|Clinical Research Atlanta, Atlanta, Georgia, United States|Advanced Clinical Research, Boise, Idaho, United States|Clinical Research Center of Nevada, Las Vegas, Nevada, United States|Rapid Medical Research, Cleveland, Ohio, United States|Lynn Health Science Institute, Oklahoma City, Oklahoma, United States|Advanced Clinical Research, Salt Lake City, Utah, United States|Universitair Ziekenhuis Gent, Gent, Oost-Vlaanderen, Belgium|BC Children's Hospital Research Institute, Vancouver, British Columbia, Canada|University of Manitoba, Winnipeg, Manitoba, Canada|Canadian Center for Vaccinology, Halifax, Nova Scotia, Canada|Ottawa Hospital, Ottawa, Ontario, Canada|Medicore Research Inc, Sudbury, Ontario, Canada|McGill University Health Centre, Montreal, Quebec, Canada|CHU de Québec Université Laval, Quebec, Canada|Espoo Vaccine Research Clinic, Espoo, Finland|Helsinki South Vaccine Research Clinic, Helsinki, Finland|Järvenpää Vaccine Research Clinic, Järvenpää, Finland|Kokkola Vaccine Research Clinic, Kokkola, Finland|Oulu Vaccine Research Clinic, Oulu, Finland|Pori Vaccine Research Clinic, Pori, Finland|Seinäjoki Vaccine Research Clinic, Seinäjoki, Finland|Tampere Vaccine Research Clinic, Tampere, Finland|University of Tampere, Tampere, Finland|Turku Vaccine Research Clinic, Turku, Finland","""Study Protocol"", https://classic.clinicaltrials.gov/ProvidedDocs/54/NCT03393754/Prot_000.pdf|""Statistical Analysis Plan"", https://classic.clinicaltrials.gov/ProvidedDocs/54/NCT03393754/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03393754"
39,"NCT03231605","Comparative Immunogenicity Study of Two Hepatitis A Vaccines",,"Unknown status","No Results Available","Hepatitis A","Biological: Hepatitis A Vaccine","To verify the protection rate and antibody quantity of experimental vaccine non-inferior than control vaccine.|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0","China National Biotec Group Company Limited|Shaanxi Provincial Center for Disease Control and Prevention","All","18 Months to 24 Months   (Child)","Phase 4","300","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Prevention","91110000100010062X","July 26, 2017","August 31, 2017","December 29, 2017","July 27, 2017",,"August 1, 2017","Shanxi Provincial Center for Disease Control and Prevention, Yuncheng, Shanxi, China",,"https://ClinicalTrials.gov/show/NCT03231605"
40,"NCT04083157","Intra-dermal With Topical Imiquimod Pretreatment Versus Intra-muscular Hepatitis B Vaccination in IBD Patients",,"Completed","No Results Available","Inflammatory Bowel Diseases|Hepatitis B","Biological: Intradermal hepatitis B vaccine with imiquimod|Biological: Intramuscular hepatitis B vaccine with aqueous cream","Sero-protection rate to HBV|Injection site adverse effect of intradermal hepatitis B vaccine in IBD patients|Systemic adverse effect of intradermal hepatitis B vaccine in IBD patients|Sero-protection rate to HBV at 1 and 6 months after dose of vaccine|Percentage of good responder defined as anti-HBs ≥ 100 IU/L|Geometric mean concentration of anti-HBs at 1, 6 and 12 months after first dose of vaccine","The University of Hong Kong","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","104","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IBDHepBVaccine","August 12, 2019","December 30, 2020","December 30, 2021","September 10, 2019",,"May 18, 2022","Queen Mary Hospital, Hong Kong, China",,"https://ClinicalTrials.gov/show/NCT04083157"
41,"NCT00873652","Observational Study of Immune Response to Hepatitis B Childhood Booster",,"Completed","No Results Available","Healthy","Biological: Engerix B®, a recombinant hepatitis B vaccine","The percentage of participants completing an accelerated course of hepatitis B vaccination with 10 IU/ml Hepatitis B surface antigen specific antibodies (antiHBs) before and after the 'pre-school' booster dose of Hepatitis B vaccine.|To evaluate the percentage of participants who had serum antiHBs concentrations < 10 IU/ml at visit 1 who had a rise in serum antiHBs to 10 IU/ml at visit 2.|To evaluate the percentage of participants who had serum antiHBs concentrations < 10 IU/ml at visit 1 who had a rise in serum antiHBs to 100 IU/ml at visit 2.|To evaluate the serum antiHBs geometric mean concentrations (GMCs) at visit 1 and visit 2.","University of Oxford","All","41 Months to 7 Years   (Child)",,"28","Other","Observational","Observational Model: Cohort|Time Perspective: Other","OVG 2008/5","February 2009","January 2011","January 2011","April 1, 2009",,"December 8, 2017","Oxford Vaccine Group, Centre for Clinical Vaccinology and Tropical Medicine (CCVTM), Churchill Hospital, Oxford, Oxfordshire, United Kingdom",,"https://ClinicalTrials.gov/show/NCT00873652"
42,"NCT05482295","Immunogenicity and Safety Following In-House Recombinant Hepatitis B Vaccine in Indonesian Population (Phase III)",,"Not yet recruiting","No Results Available","Vaccine Reaction|Vaccine Adverse Reaction","Biological: Hepatitis B vaccine lot 1|Biological: Hepatitis B vaccine lot 2|Biological: Hepatitis B vaccine lot 3|Biological: Hepatitis B vaccine (registered)","Percentage of subjects with increasing antibody titer >= 4 times|Geometric Mean Titer (GMT)|Percentage of subjects with transition of seronegative to seropositive|Percentage of subjects with at least one immediate reaction|Percentage of subjects with at least one of these adverse events|Serious adverse event after vaccination|Comparison adverse events between Investigational Products (Hepatitis B) and Control|Comparison of adverse events between each lot number of Recombinant Hepatitis B","PT Bio Farma|RS Umum Pusat Sanglah, Denpasar","All","10 Years to 40 Years   (Child, Adult)","Phase 3","540","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","Hep B 0322","October 2022","November 2022","December 2022","August 1, 2022",,"September 19, 2022",,,"https://ClinicalTrials.gov/show/NCT05482295"
43,"NCT04204447","Hepatitis C-Video vs. Brochure Education Delivery",,"Completed","No Results Available","Hepatitis C","Other: Hepatitis C Educational Brochure|Other: Hepatitis C Educational Video","Improved score on HCV Knowledge Questionnaire","State University of New York at Buffalo","All","18 Years and older   (Adult, Older Adult)","Not Applicable","176","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","STUDY00002677","November 27, 2019","October 31, 2020","October 31, 2020","December 19, 2019",,"April 19, 2022","University at Buffalo, Buffalo, New York, United States|BestSelf Behavioral Health, Orchard Park, New York, United States",,"https://ClinicalTrials.gov/show/NCT04204447"
44,"NCT02959775","Immunogenicity of Hepatitis B Vaccination Among Drug Users",,"Completed","Has Results","Hepatitis B Vaccination","Biological: 60 µg dose hepatitis B vaccine|Biological: 20 µg dose hepatitis B vaccine","Number and Rate of Participants With Anti-HBs Seroconversion at Month 7|Anti-HBs Concentration at Month 7|Anti-HBs Concentration at Month 12|Number and Rate of Participants With Anti-HBs Seroconversion at Month 12|Occurrence of Adverse Events After Vaccination|Serious Adverse Events (SAE) Occurred During Month 12","Shanxi Medical University|Centers for Disease Control and Prevention, China","Male","18 Years to 70 Years   (Adult, Older Adult)","Phase 4","480","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","2012ZX10002001003004002","August 2014","May 2015","October 2015","November 9, 2016","February 18, 2022","February 18, 2022",,,"https://ClinicalTrials.gov/show/NCT02959775"
45,"NCT00608192","HIV and Hepatitis Care Coordination in Methadone Treatment",,"Completed","No Results Available","Hepatitis, Viral, Human|HIV Infections","Behavioral: Testing, Education, & Counseling (TEC)|Behavioral: Hepatitis Care Coordination (HCC)","Vaccination adherence visits|Health Care Utilization Survey|Intervention Costs & Hepatitis Care Utilization: DATCAP, public and private health care system administrative databases|Hepatitis A Knowledge Test|Hepatitis B Knowledge Test|Hepatitis C Knowledge Test|HIV Knowledge Test|Risk Behavior Survey|Addiction Severity Index","University of California, San Francisco|National Institute on Drug Abuse (NIDA)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","489","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","R01DA020781","January 2008","June 2011","June 2011","February 6, 2008",,"January 16, 2013","San Francisco General Hospital Opiate Treatment Outpatient Program, San Francisco, California, United States|Beth Israel Medical Center Methadone Maintenance Program, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT00608192"
46,"NCT03425513","Hepatitis B Virus Prevalence and Risk Factors in Belgium","HBVBE","Completed","No Results Available","Hepatitis B","Diagnostic Test: Hepatitis B serology|Other: Questionnaire","Seroprevalence of current HBV infection in the Middle Limburg population|Seroprevalence of past or current HBV infection in the Middle Limburg population|Assess risk factors for current HBV infection in the Middle Limburg population|Assess risk factors for past or current HBV infection in the Middle Limburg population","Hasselt University","All","18 Years to 70 Years   (Adult, Older Adult)",,"1131","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","HBVBE","May 12, 2017","November 27, 2017","November 27, 2017","February 7, 2018",,"January 27, 2020","Ziekenhuis Oost-Limburg, Genk, Limburg, Belgium",,"https://ClinicalTrials.gov/show/NCT03425513"
47,"NCT00473824","Randomized Phase II Study of Hepatitis C Immune Globulin Intravenous (Human), Civacir(TM), in Liver Transplantation",,"Terminated","Has Results","Sequelae of Viral Hepatitis|Transplantation Infection|Evidence of Liver Transplantation","Biological: Hepatitis C Immune Globulin Intravenous (Human) 5%","Post Transplant Reduction in Viral Load (as Measured Quantitatively by Hepatitis C Virus (HCV) Reverse Transcription-Polymerase Chain Reaction (HCV RT-PCR)).","ADMA Biologics, Inc.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","7","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Nabi-3104","May 2007","February 2009","February 2009","May 16, 2007","February 7, 2012","July 30, 2021","Mayo Clinic, Phoenix, Arizona, United States|Mayo Clinic, Jacksonville, Florida, United States|Mayo Clinic, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT00473824"
48,"NCT02003703","Comparative Efficacy of an Intensified Re-vaccination Scheme for Hepatitis B Virus Infection Among Patients Infected With HIV .","CORE-HIV","Completed","No Results Available","Hepatitis B|HIV","Biological: Recombinant Hepatitis B Virus Vaccine","Serologic Response|Local Reactions to Vaccine|Systemic Reactions to the Vaccine","Universidad de Valparaiso|Roche Pharma AG|GlaxoSmithKline|Aclin Laboratory","All","18 Years and older   (Adult, Older Adult)","Phase 3","107","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Prevention","45/2012","May 2015","June 2018","December 2018","December 6, 2013",,"January 31, 2019","Hospital Gustavo Fricke, Viña del Mar, Valparaíso, Chile",,"https://ClinicalTrials.gov/show/NCT02003703"
49,"NCT01341808","Immunogenicity of Hepatitis A Vaccine in Inflammatory Bowel Disease (IBD) Patients",,"Completed","No Results Available","Inflammatory Bowel Disease|Crohn's Disease|Ulcerative Colitis|Hepatitis A","Biological: Epaxal Berna (virosomal hepatitis A vaccine)","antibody titer to hepatitis A vaccine|vaccine-associated adverse events and side effects","Asan Medical Center","All","18 Years to 40 Years   (Adult)","Phase 4","493","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2011-0047","April 2011","February 2013","March 2013","April 26, 2011",,"March 19, 2013","Asan Medical Center, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT01341808"
50,"NCT02190305","Rapid Diagnostics for HIV and Hepatitis",,"Withdrawn","No Results Available","HIV Infections|Hepatitis B Infections|Hepatitis C Infections","Device: Multiplo HBc/HIV/HCV and Reveal HBsAg","Clinical performance of Reveal HBsAg and Multiplo HBc/HIV/HCV","MedMira Laboratories Inc.","All","13 Years and older   (Child, Adult, Older Adult)","Not Applicable","0","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","MCP002","May 2014","August 2015","August 2015","July 15, 2014",,"April 21, 2023","Keck School of Medicine - LAUSC, Los Angeles, California, United States|SCFLD Hepatology Diagnostic Research Laboratory, Miami, Florida, United States|Minneapolis Medical Research Foundation, Minneapolis, Minnesota, United States|NYC Dept Health & Mental Hygiene, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT02190305"
51,"NCT01405183","Association Between Hepatitis C Infection and Renal Cell Carcinoma",,"Completed","No Results Available","Hepatitis C|Renal Cell Carcinoma|Colorectal Cancer","Other: Hepatitis C testing","Prevalence of hepatitis C in renal cell carcinoma patients","Henry Ford Health System|Schering-Plough","All","18 Years and older   (Adult, Older Adult)",,"240","Other|Industry","Observational","Observational Model: Case-Control|Time Perspective: Prospective","P08406","January 2011","August 2013","September 2013","July 29, 2011",,"September 17, 2014","Henry Ford Hospital, Detroit, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT01405183"
52,"NCT00139113","Immunogenicity Study of an Inactivated Hepatitis A Vaccine in Infants and Young Children",,"Completed","No Results Available","Hepatitis A","Biological: hepatitis A vaccine","concentration of antibody to hepatitis A virus|reported side effects and adverse events|antibodies to routine childhood vaccinations","Centers for Disease Control and Prevention|Alaska Native Medical Center|GlaxoSmithKline","All","up to 6 Months   (Child)","Phase 4","248","U.S. Fed|Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","CDC-NCID-1358|U50/CCU022279","September 1996","June 2001","June 2001","August 31, 2005",,"August 30, 2012","Anchorage Neighborhood Health Center, Anchorage, Alaska, United States|Alaska Native Medical Center, Anchorage, Alaska, United States",,"https://ClinicalTrials.gov/show/NCT00139113"
53,"NCT06058416","Immunogenicity and Safety of Hepatitis A Among People Aged 18-50 Years Old",,"Active, not recruiting","No Results Available","Hepatitis A","Biological: Healive (hepatitis A vacine(human diploid cell), inactivated)","The seroconversion rate of anti-HAV antibody 28 days after two dose of vaccination of hepatitis A vaccine with an interval of 6 month|Incidence of adverse reaction within 28 days after one dose of vaccination|The seroconversion rate of anti-HAV antibody 28 days after two dose of vaccination of hepatitis A vaccine with an interval of 18 month, 36 months, and 60 months|The seropositive rate, GMC and GMI of anti-HAV antibody 28 days after two dose of vaccination of hepatitis A vaccine with an interval of 6 months, 18 month, 36 months, and 60 months|The seropositive rate, GMC and GMI of anti-HAV antibody 28 days after one dose of vaccination of hepatitis A vaccine with an interval of 6 months, 18 month, 36 months, and 60 months|The seropositive rate, GMC and GMI of anti-HAV antibody 28 days after two dose of vaccination of hepatitis A vaccine with an interval of 6 months, 18 month, 36 months, and 60 months among people with underlying conditions|The seropositive rate of anti-HAV antibody before vaccination|Incidence of adverse reaction within 7 days after one dose of vaccination|Incidence of adverse reaction within 28 days after two dose of vaccination|Incidence of adverse reaction within 28 days after one dose of vaccination among different group of people","Sinovac Biotech Co., Ltd|Liaoning Center for Disease Control and Prevention","All","18 Years to 50 Years   (Adult)","Phase 4","1092","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","PRO-HAV-MA4001-LN","October 24, 2023","March 17, 2024","December 31, 2029","September 28, 2023",,"November 28, 2023","Liaoning Center for Disease Control and Prevention, Shenyang, Liaoning, China",,"https://ClinicalTrials.gov/show/NCT06058416"
54,"NCT04456504","HepB-CpG Series for Healthcare Workers Who Are Hepatitis B Vaccine Nonresponders",,"Completed","No Results Available","Healthcare Worker, Hepatitis B Vaccine, Nonresponder","Biological: Recombinant hepatitis B vaccine with CpG adjuvant","Number of participants who failed to respond to 5 or more doses of hepatitis B vaccine with aluminum adjuvant who respond to hepatitis B vaccine with CpG adjuvant series|Number of participants who respond to a single dose of hepB-CpG|Proportion of participants who are nonresponders with each risk factor","University of Wisconsin, Madison","All","18 Years and older   (Adult, Older Adult)","Phase 4","47","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2020-0631|A561000|PHARM/PHARMACY|Protocol Version 6/11/2020","September 15, 2020","December 6, 2023","December 6, 2023","July 2, 2020",,"December 8, 2023","University of Wisconsin, Madison, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04456504"
55,"NCT02055365","Pilot Study: Gene Expression Profiling of Immune Response to HBV Vaccination in Healthy Volunteers",,"Completed","Has Results","Hepatitis B","Biological: Hepatitis B Vaccine (Recombinant)","Number of Differentially Expressed Genes at p < 0.05 (Without Multiple Testing Correction).|Number of Significantly Differentially Expressed Genes at False Discovery Rate (FDR)< 0.05 (Upon Correction for Multiple Testing).","Rockefeller University","All","18 Years to 60 Years   (Adult)","Not Applicable","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","BRO-0828","February 18, 2014","January 6, 2015","January 6, 2015","February 5, 2014","April 5, 2018","May 7, 2018","The Rockefeller University, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT02055365"
56,"NCT03405597","HBsAb Response After HBV Vaccination in Chronic Hepatitis B Patients Who Have Lost HBsAg",,"Unknown status","No Results Available","Chronic Hepatitis B, HBsAg, Hepatitis B Vaccine","Drug: Commercial Hepatitis B vaccine|Other: Standard Treatment","HBsAb level at 4 weeks after complete vaccine injection|HBsAb level at 6 months after complete vaccine injection|Adverse event from HBV vaccine|Factors associated with HBV vaccine response","Mahidol University","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","97","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","13/2560(EC1)","March 30, 2017","February 28, 2018","June 30, 2018","January 23, 2018",,"January 23, 2018","Faculty of Medicine Siriraj Hospital, Bangkoknoi, Bangkok, Thailand",,"https://ClinicalTrials.gov/show/NCT03405597"
57,"NCT04970836","The Immune Responses After Hepatitis B Revaccination Doses in a Young Cohort","IRHBRVD","Recruiting","No Results Available","Hepatitis B|Vaccination; Infection|Preventable Disease, Vaccine","Biological: recombinant hepatitis B vaccine","anti-HBs titer response rate at 7-10 days|anti-HBs titer response rate at one month|anti-HBs titer response rate at 6 months|anti-HBs titer response rate at 12 months|anti-HBs titer immune response change at 12 months","National Taiwan University Hospital|Academia Sinica, Taiwan|Ministry of Science and Technology, Taiwan","All","20 Years to 36 Years   (Adult)","Not Applicable","240","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","202012221MINB|110-2314-B-002-132","August 1, 2021","July 31, 2024","December 31, 2024","July 21, 2021",,"June 27, 2022","Family Medicine, NTUH, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT04970836"
58,"NCT02555475","The Prime Study - Comparing Hepatitis C Care and Treatment in a Primary Health Care Service With a Tertiary Hospital",,"Completed","No Results Available","Hepatitis C","Other: community based hepatitis C care and treatment","To measure the proportion of people attending at a Primary Health Care Service for their genotype 1 HCV infection who commence antiviral treatment (Viekira Pak and ribavirin) and have a SVR 12.|To measure the proportion of people attending a PHCS with G1 HCV infection who commence antiviral treatment (Viekira Pak and ribavirin) if they are managed at a PHCS compared to those who are referred to and managed at a tertiary hospital.|To measure the proportion of people with G1 HCV who have an SVR12 at a PHCS compared a tertiary hospital.|To measure the reduction in HCV viraemia (community viral load) among participants considering retention through the cascade of care and SVR12.|To measure the cost effectiveness of managing and treating people in a primary health service compared to a tertiary hospital.|To define the cascade of care for patients referred to a community hepatitis nurse for assessment of HCV.","Macfarlane Burnet Institute for Medical Research and Public Health Ltd|St Vincent's Hospital Melbourne","All","18 Years and older   (Adult, Older Adult)","Not Applicable","140","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HREC/15/SVHM/41","March 2016","December 22, 2017","May 22, 2018","September 21, 2015",,"May 24, 2018","St Vincents Hospital Melbourne, Melbourne, Victoria, Australia|Burnet Institute, Melbourne, Victoria, Australia|Hospital Liver Clinic, Greenlane, Auckland, New Zealand|Auckland Opioid Treatment Service (AOTS), Pt Chevalier, Auckland, New Zealand|Hepatitis C Community Clinic, Sydenham, Christchurch, New Zealand|Calder Centre Auckland, Auckland, New Zealand|Auckland Central liver Clinic, Auckland, New Zealand|Community Alcohol and Drug Services, Auckland, New Zealand",,"https://ClinicalTrials.gov/show/NCT02555475"
